yearID,name,teamID,franchID,W,L,H,HR,BB,SO,SB,CS,ERA,SOA,salary
1988,Houston Astros,HOU,HOU,82,80,1338,96,474.0,840.0,198.0,71.0,3.41,1049,12286167
1988,Kansas City Royals,KCA,KCR,84,77,1419,121,486.0,944.0,137.0,54.0,3.65,886,14556562
1988,Los Angeles Dodgers,LAN,LAD,94,67,1346,99,437.0,947.0,131.0,46.0,2.96,1029,16850515
1988,Minnesota Twins,MIN,MIN,91,71,1508,151,528.0,832.0,107.0,63.0,3.93,897,12462666
1988,Milwaukee Brewers,ML4,MIL,87,75,1409,113,439.0,911.0,159.0,55.0,3.45,832,8402000
1988,Montreal Expos,MON,WSN,81,81,1400,107,454.0,1053.0,189.0,89.0,3.08,923,9603333
1988,New York Yankees,NYA,NYY,85,76,1469,148,588.0,935.0,146.0,39.0,4.26,861,19441152
1988,New York Mets,NYN,NYM,100,60,1387,152,544.0,842.0,140.0,51.0,2.91,1100,15269314
1988,Oakland Athletics,OAK,OAK,104,58,1474,156,580.0,926.0,129.0,54.0,3.44,983,9690000
1988,Philadelphia Phillies,PHI,PHI,65,96,1294,106,489.0,981.0,112.0,49.0,4.14,859,13838000
1988,Pittsburgh Pirates,PIT,PIT,85,75,1327,110,553.0,947.0,119.0,60.0,3.47,790,5998500
1988,San Diego Padres,SDN,SDP,83,78,1325,94,494.0,892.0,123.0,50.0,3.28,885,9561002
1988,Seattle Mariners,SEA,SEA,68,93,1397,148,461.0,787.0,95.0,61.0,4.15,981,7342450
1988,San Francisco Giants,SFN,SFG,83,79,1353,113,550.0,1023.0,121.0,78.0,3.39,875,12380000
1988,St. Louis Cardinals,SLN,STL,76,86,1373,71,484.0,827.0,234.0,64.0,3.47,881,12880000
1988,Texas Rangers,TEX,TEX,70,91,1378,112,542.0,1022.0,130.0,57.0,4.05,912,5342131
1988,Toronto Blue Jays,TOR,TOR,87,75,1491,158,521.0,935.0,107.0,36.0,3.8,904,12241225
